employee_id,first_name,last_name,email,phone_number,date_of_birth,gender,hire_date,job_title,department,salary,bonus,is_active,address,city,state,country,postal_code,created_at,updated_at
17,Amanda,Thomas,joseph00@bailey.com,7836299252052,1971-05-24,Male,2024-02-16,Project Manager,Finance,43841.97,11741.49,False,318 Jill Neck Suite 459,East Blakefurt,Kentucky,Malawi,93647,2022-11-22 12:47:58,2021-11-13 18:53:59
18,Vickie,Strong,justingreer@mcmahon.biz,1720174547055,1980-11-23,Male,2021-05-24,Data Analyst,IT,117778.71,2342.69,True,6306 Morales Rapids Apt. 815,South Douglasberg,Arkansas,Palestinian Territory,73420,2022-06-25 16:01:52,2021-09-04 00:49:28
19,Karen,Ward,coxtina@frazier.com,0011365401746,1978-12-11,Female,2018-02-13,Data Analyst,Sales,81135.74,1243.85,True,20290 Mitchell Center Apt. 374,Arielstad,West Virginia,Palau,70805,2022-09-01 00:26:37,2024-03-24 13:30:20
20,Vanessa,Jensen,freynolds@yahoo.com,001032331210981,1995-03-26,Other,2023-01-17,Data Analyst,IT,128054.44,12684.13,True,98583 Cheryl Plaza Suite 698,South Ashleybury,Montana,Estonia,73468,2022-08-13 12:27:40,2021-01-10 20:18:41
21,Lori,Berry,david32@gmail.com,8477194516501,1986-10-15,Male,2017-03-09,Software Engineer,HR,102760.61,11519.06,False,000 Goodman Creek,South Joyceview,North Carolina,Gabon,35117,2021-09-15 20:56:47,2023-06-01 01:15:37
22,Carrie,Velez,phillipburch@yahoo.com,50999415126745,1983-05-03,Male,2019-02-28,Project Manager,IT,34367.04,432.73,True,774 Davis Spur,New Brett,Kentucky,Guyana,44074,2023-01-23 09:35:47,2020-06-26 04:01:18
23,Patrick,Peterson,fjohnson@bridges.com,70884549515079,1976-03-21,Other,2021-07-01,Software Engineer,Marketing,55269.18,16014.93,True,470 Moore Key Apt. 106,Connerton,Massachusetts,Anguilla,89392,2020-02-09 09:57:38,2023-11-27 17:25:06
24,Tammy,Lewis,nicole57@hotmail.com,7168041200,1981-12-04,Other,2022-08-04,HR Executive,Finance,42180.03,5198.4,True,57954 Hall Streets Apt. 780,Floreshaven,Illinois,Saint Barthelemy,97367,2020-12-20 18:32:47,2024-10-10 06:23:23
25,John,Wilkins,amy67@yahoo.com,+15239787627,1982-04-03,Male,2018-04-26,Project Manager,Sales,82328.24,1220.85,False,4543 Smith Walks,East Wendymouth,Oregon,Chad,03039,2020-05-09 04:20:02,2024-07-16 10:24:38
26,Savannah,Shah,wallsrobert@gmail.com,1228266054,1987-10-28,Male,2024-12-23,Sales Manager,IT,113918.78,7825.52,False,90555 Valerie Springs,Michaelchester,Illinois,Guyana,75887,2022-02-22 22:00:41,2021-04-12 00:09:18
27,Jason,Warren,lorrainefloyd@yahoo.com,+12815998919254,1996-03-28,Female,2019-11-08,HR Executive,Finance,50330.95,13452.81,True,66515 Jordan Turnpike Apt. 571,Lauraview,Texas,Guinea,19958,2023-07-10 07:48:09,2021-10-04 21:47:27
28,James,Perkins,mark06@mccall-taylor.com,+16930520769106,1984-02-01,Other,2018-10-13,Data Analyst,HR,71077.5,5013.75,False,93697 Greene Lodge Suite 042,Port Maria,Delaware,Macedonia,82145,2023-10-27 20:29:20,2021-05-09 11:47:52
29,Barbara,Price,elizabeth32@hotmail.com,001240757583490,1973-09-29,Other,2020-01-03,Data Analyst,IT,86595.05,8198.11,False,0496 Renee Forges,Andersonview,Washington,Yemen,83801,2024-11-28 10:08:35,2024-09-16 08:55:42
30,James,Martinez,kristenmiles@cruz.biz,97579209665424,1998-05-02,Other,2019-10-27,Project Manager,Marketing,130519.34,5018.65,True,937 Heather Parks Suite 063,Hannahchester,Connecticut,Georgia,35928,2021-05-21 16:20:55,2021-04-13 03:09:57
31,Karen,Parker,phillipporter@yahoo.com,5399201249,1983-11-24,Female,2020-03-19,Software Engineer,Sales,118681.93,10886.39,True,49516 Cook Ranch,Melissaside,Oklahoma,Sudan,07916,2020-04-02 05:05:05,2022-11-26 22:33:07
32,Jessica,Lawson,tboyd@durham-taylor.net,931661948520026,1989-03-27,Male,2015-11-15,HR Executive,Sales,103216.28,13468.07,True,8996 Daniel Plaza Apt. 358,Thomasland,Arizona,Northern Mariana Islands,46959,2021-10-07 15:31:08,2023-07-03 03:31:05
33,Ashley,Brewer,rflores@yahoo.com,351124323663308,1983-06-26,Other,2022-07-07,Project Manager,Marketing,119818.31,16578.06,True,195 Bright Pass,South Beth,Oregon,Austria,74710,2020-12-02 02:23:38,2022-04-04 14:59:57
34,Ryan,Garcia,uanderson@phillips.net,1551941349,1968-10-23,Male,2017-01-13,Sales Manager,HR,113829.92,3201.6,True,2532 Devin Station Apt. 778,South Misty,Indiana,Niger,13254,2022-10-29 20:06:34,2021-06-26 16:51:57
35,Jennifer,Garcia,carl05@henderson.biz,3747372939656,1982-03-26,Other,2022-01-14,HR Executive,Marketing,115242.0,13475.5,False,98713 Fleming Port,Adrianmouth,Indiana,Indonesia,29958,2022-06-17 23:28:13,2024-12-04 20:57:33
36,Leslie,Ward,tuckerrachel@estrada.com,6098000694,1995-03-23,Male,2021-01-12,HR Executive,Finance,80187.19,13243.92,True,616 Pope Cape,Bradleystad,Tennessee,Spain,88877,2021-01-03 03:56:02,2025-04-11 19:26:50
37,Hannah,Savage,coopernathaniel@hotmail.com,+18198039964112,1974-12-22,Male,2024-10-29,HR Executive,IT,61107.23,3153.73,False,79463 Alexa Oval,Port Jeremyfurt,Vermont,Vietnam,86921,2023-11-24 16:35:17,2020-07-25 04:03:03
38,John,Russo,carrmichelle@yahoo.com,2676493808,1990-12-19,Other,2018-01-12,Sales Manager,IT,136065.02,9891.65,False,920 Hughes Neck Suite 965,Port Caleb,Ohio,Macao,31611,2022-11-22 08:54:43,2022-08-01 14:41:04
39,John,Dixon,zoesmith@yahoo.com,4655314431368,1975-07-18,Female,2020-10-05,Software Engineer,Marketing,52560.16,19988.41,True,7348 Long Circles,Gonzalesville,Hawaii,Northern Mariana Islands,16295,2024-06-16 07:00:43,2022-04-08 11:08:52
40,Joseph,Myers,lauradiaz@benton.biz,0920665660,1982-07-24,Other,2023-06-12,Data Analyst,IT,78218.02,13570.3,False,02983 Rachel Stream,Ronaldhaven,Maine,Vietnam,98917,2024-02-20 09:07:34,2022-02-05 16:14:14
41,Dana,Adams,theresadixon@gmail.com,+13320074480679,1975-10-28,Male,2016-01-18,Data Analyst,IT,116078.9,47.15,True,086 Davis Way,Anthonymouth,Washington,Madagascar,30930,2022-03-15 09:42:16,2023-03-17 09:06:39
42,Brian,Heath,marvin66@terrell.com,23188183865439,1968-06-07,Male,2020-10-23,Software Engineer,Finance,107911.85,17473.08,False,99217 Timothy Glen Suite 208,Port Ethan,West Virginia,Rwanda,92827,2021-09-09 10:32:58,2022-07-23 07:13:17
43,Cassie,Patel,mendezjennifer@quinn.com,0309547944,2000-02-03,Other,2021-01-08,Data Analyst,IT,87072.66,18455.39,True,17811 Frank Mall Apt. 845,Jonathantown,North Dakota,Spain,08779,2023-07-30 12:06:37,2020-12-11 04:56:42
44,Barbara,Page,keithalexander@hotmail.com,1172626805644,1973-12-30,Male,2016-10-25,Project Manager,Marketing,125978.95,2315.59,False,593 Martha Mills Suite 288,Lake Jamesport,Oklahoma,Costa Rica,35260,2020-06-20 08:58:00,2024-05-14 06:07:48
45,Michael,Cross,ostone@gmail.com,20394374006680,1975-09-22,Male,2017-02-23,Sales Manager,Sales,43813.12,3088.8,True,3468 Cunningham Stream Apt. 530,Baxterfurt,Louisiana,Greenland,26096,2024-04-15 04:07:49,2022-01-04 17:54:51
46,Ashley,Bradley,grant52@yahoo.com,33422730136660,1974-04-19,Male,2020-04-17,Software Engineer,HR,111719.61,11167.11,False,093 Tucker Creek Suite 175,New Bonnie,Connecticut,Guinea-Bissau,86864,2023-12-03 11:57:59,2021-08-15 23:29:55
47,Kyle,Yang,rmartinez@curry-jackson.com,001019637378687,2000-02-10,Other,2023-02-17,Software Engineer,Finance,108643.42,14247.15,False,5219 Gibson Fields,Byrdchester,Arkansas,Cayman Islands,33320,2022-06-25 11:51:02,2024-07-30 05:04:42
48,Kelly,Barnett,teresa54@rowland-lynch.com,001907174785791,1995-12-05,Other,2021-05-17,HR Executive,Sales,134569.29,3565.77,False,275 Jonathan Port Apt. 928,Dianaburgh,Washington,Albania,73721,2024-12-20 15:48:32,2024-07-29 03:44:20
49,Stephanie,Drake,scottharris@williams.com,42065460003610,1989-12-10,Other,2023-05-21,Project Manager,IT,46614.83,5427.47,False,40279 Carl Glen,South Kathleen,Hawaii,Uganda,28948,2022-01-12 23:33:12,2021-11-11 02:53:22
50,Rebecca,Barrett,donald19@archer-patel.org,7752109003,1991-09-21,Female,2019-11-20,Software Engineer,Sales,123530.03,713.31,False,4182 Mitchell Island,Port Amanda,South Carolina,Turkey,81859,2021-10-18 19:17:51,2024-10-09 09:27:43
51,Zachary,Evans,staylor@hotmail.com,2251146684,2000-06-14,Male,2017-12-29,Data Analyst,Finance,64743.7,7895.84,True,6120 Everett Burgs,Sarahshire,Washington,Wallis and Futuna,41836,2022-01-03 01:00:26,2020-02-22 13:55:23
52,Brian,Johnson,stephen87@miller-williams.biz,5114470163,1982-06-01,Female,2020-01-02,Software Engineer,Marketing,117662.61,18675.08,False,81554 Brown Lodge,Shellystad,Louisiana,Trinidad and Tobago,01429,2021-03-04 04:56:30,2024-02-29 11:59:41
53,Matthew,Harris,orowe@hotmail.com,581229381486053,1995-10-28,Male,2024-12-31,Sales Manager,IT,66320.48,16711.19,False,8173 Villegas Rest,Matthewtown,Nevada,Sao Tome and Principe,85319,2020-11-27 15:43:01,2022-09-07 13:11:38
54,Paul,Brooks,markchan@gmail.com,5668433163,1976-11-10,Female,2018-09-06,Software Engineer,IT,97299.6,9623.45,False,6119 Michael Expressway,Stevenmouth,Maryland,Vietnam,38400,2022-09-28 04:56:49,2023-08-21 09:59:14
55,Joanne,Ritter,davidbanks@ramirez-good.com,+12726855102553,1989-01-31,Female,2016-03-19,Software Engineer,Marketing,43920.97,9954.69,True,789 Allen Mountains,East Charlesborough,Tennessee,South Africa,78925,2021-09-06 19:19:19,2023-01-11 07:52:08
56,Nathan,Phillips,kevinlynch@gmail.com,0590526168277,2000-12-01,Female,2020-09-26,Project Manager,HR,140362.66,12534.84,False,0177 Stephanie Pine,Lake Danielfurt,Connecticut,Ireland,17204,2024-01-20 20:20:29,2024-11-21 11:31:53
57,Ashley,Torres,omiller@richards-jackson.com,08093292727308,1967-06-24,Other,2024-01-20,Software Engineer,IT,126932.71,3960.81,True,6475 Kathleen Ports Apt. 777,Rogerton,Arizona,Saint Martin,97022,2022-10-14 02:38:31,2023-04-02 15:18:43
58,Todd,Obrien,uphillips@cohen.com,8395324882,1994-02-15,Male,2017-03-11,HR Executive,IT,41769.18,11129.49,False,3195 Hernandez Valley Suite 871,Robertstad,Wyoming,Iran,47123,2023-07-02 10:30:33,2022-03-22 09:20:03
59,Adrian,Frost,michelleortiz@vincent.com,3150663963651,1965-07-16,Female,2018-11-30,HR Executive,Finance,115728.76,4345.07,True,34132 Barbara Trail Suite 542,Lake Abigail,Alabama,Sao Tome and Principe,17722,2024-02-18 14:47:12,2025-04-14 10:16:26
60,Carl,Parker,haley92@miller-johnson.com,4388254225645,1995-01-30,Female,2023-08-03,Data Analyst,Sales,100227.36,3331.62,True,97346 Henry Junctions Suite 505,Diazmouth,California,Bermuda,98600,2024-07-19 14:34:03,2022-05-30 02:45:33
61,Debra,Phillips,millertiffany@yahoo.com,571576806850509,1996-05-26,Female,2023-12-19,Software Engineer,IT,128637.68,17057.17,True,04883 Gina Parkways Suite 180,Lucaston,New Hampshire,Poland,96089,2021-04-09 02:12:28,2024-04-28 12:18:12
62,Brianna,Harper,vincent73@hotmail.com,+19647498342337,1980-11-29,Other,2019-07-17,HR Executive,HR,44269.23,7959.07,True,3952 Kristina Fields Apt. 993,Delacruzfort,Vermont,Gabon,81133,2020-09-04 03:45:02,2020-10-23 15:24:53
63,Katrina,Klein,grahampatrick@gmail.com,0051744764,1979-07-15,Other,2024-11-28,Software Engineer,HR,104809.81,2092.59,False,915 Wood Place Apt. 979,Roseview,Ohio,Canada,89842,2021-02-28 16:51:51,2020-08-24 10:28:55
64,Eric,Scott,nortonmarcus@barry-scott.net,001385685189703,1992-05-04,Female,2015-09-29,Project Manager,Finance,129238.39,2094.93,False,698 Daniel Common Suite 684,South Steven,South Dakota,Norway,87932,2024-12-18 06:57:56,2024-12-28 15:20:03
65,Justin,Weaver,manuel19@vaughn.com,1055728401727,1984-11-27,Male,2024-01-26,Sales Manager,Marketing,106603.63,8464.78,False,91382 Johnson Valley,Karenchester,Minnesota,Denmark,15254,2023-06-30 22:58:16,2024-02-17 11:29:47
66,Jennifer,Munoz,gmiller@yahoo.com,199974058718419,1989-09-03,Other,2016-02-06,Project Manager,Marketing,149781.97,12701.3,True,2573 Poole Road,West Sandrashire,New Hampshire,Costa Rica,60428,2023-07-17 15:41:41,2024-10-24 14:42:38
67,Joy,Johnston,emily99@gmail.com,673270307021283,1972-01-09,Other,2017-06-16,Sales Manager,HR,31164.56,14111.87,False,80262 Robert Isle Apt. 701,East Aliciaville,Oklahoma,Western Sahara,94706,2020-09-22 03:25:55,2025-04-06 09:12:06
68,Christian,Bender,johnnyhaynes@gmail.com,4798244999,1979-07-24,Female,2020-11-14,Software Engineer,Finance,47804.03,5137.64,True,72533 Julie Lock Suite 609,New Kylie,Maine,Bolivia,06738,2023-08-23 22:14:32,2020-04-15 07:48:26
69,Edward,Barr,masonchristy@palmer.com,13097667341576,1986-12-10,Female,2015-09-10,Sales Manager,Sales,116175.8,16141.11,True,99773 Gordon Glen,North Sarah,Wisconsin,United States Virgin Islands,41954,2024-04-22 09:10:03,2022-05-09 07:28:45
70,Karen,Arroyo,huffchad@gmail.com,3335091013591,2000-10-25,Male,2022-01-20,Sales Manager,IT,37962.56,2609.88,False,327 Ellis Wells Apt. 882,Port Matthewshire,Idaho,Barbados,92863,2022-03-17 04:09:56,2023-09-07 19:03:51
71,Rebecca,Montes,nicholasthomas@gmail.com,1334401287,1982-04-19,Male,2017-09-06,HR Executive,Sales,133428.41,16012.91,False,39833 Shawn Parks,Garciastad,Nevada,Mauritius,23780,2020-01-05 05:50:45,2023-06-27 09:05:38
72,Deanna,Duncan,jocelyn03@hotmail.com,9265883353,1998-05-25,Female,2016-03-28,Sales Manager,Marketing,138130.86,10048.57,True,708 Harris Ville Apt. 057,New Kristifurt,Maryland,Montenegro,70916,2021-07-08 04:37:38,2021-11-30 20:26:55
73,Elizabeth,Alvarez,yjohnson@reed.com,001374944095410,1966-02-04,Other,2023-05-11,Sales Manager,Finance,148863.91,14939.31,True,10441 Lorraine Fork,Port Marymouth,Michigan,Netherlands Antilles,80240,2023-12-11 00:16:29,2020-03-15 03:38:56
74,Amanda,Nunez,ronalddrake@hotmail.com,+17649035552636,1967-12-25,Female,2015-11-21,Sales Manager,Finance,80140.88,19450.97,False,834 Caitlin Bridge Suite 430,New Gregorymouth,Rhode Island,Canada,29880,2025-03-19 18:54:20,2022-10-17 04:03:31
75,Kenneth,Myers,lyonspeter@howard-dennis.org,001187344059494,1985-04-15,Other,2021-01-16,Sales Manager,HR,132157.99,15961.19,True,6711 Gonzalez Run Apt. 345,Lucaschester,Indiana,Singapore,71533,2023-10-13 06:01:57,2022-11-28 18:00:15
76,Cody,Robinson,morganchristine@gmail.com,49100138658117,1984-07-04,Other,2023-10-27,Data Analyst,Sales,90822.93,5089.19,True,48875 Martinez Plains Apt. 079,East Tamara,Iowa,Philippines,05037,2022-05-30 21:42:38,2020-12-06 21:47:53
77,Paul,Church,reidwilliam@hotmail.com,2967262305771,1986-10-21,Female,2019-10-22,Project Manager,Sales,122697.62,7683.19,False,403 Green Common,Wilsonside,New York,San Marino,42570,2021-07-13 21:03:11,2022-08-08 04:46:18
78,Wesley,Smith,emily40@yahoo.com,5825534380,1990-02-24,Male,2019-10-04,Data Analyst,HR,58674.2,14589.01,False,4100 Jeremy Points Apt. 829,Sandraburgh,Hawaii,Mozambique,64251,2020-04-26 14:28:52,2024-03-23 16:23:03
79,Caitlin,Collins,melissa96@yahoo.com,+13513322487,1985-03-22,Male,2022-12-29,Software Engineer,Marketing,80143.93,9836.62,True,53277 William Track Suite 643,Deborahmouth,Utah,Bulgaria,92184,2023-09-05 16:51:36,2023-03-16 15:27:07
80,Shane,Chandler,qroberts@powell.com,+10498079069920,1965-06-07,Other,2019-09-06,Data Analyst,Sales,79336.82,12235.42,False,04504 Garcia Lodge,Karenbury,Hawaii,Trinidad and Tobago,79485,2023-10-09 15:19:18,2023-04-10 08:54:21
81,Lee,Hayes,michaelle@alexander-mcdaniel.com,001291479124838,2003-05-11,Female,2021-02-04,Software Engineer,IT,86506.71,3027.36,True,7012 Elizabeth Harbor,Port Rhonda,Hawaii,Guernsey,45216,2024-04-06 11:08:05,2021-11-19 20:19:04
82,Michelle,Campos,donnadennis@adkins.com,0010838752677,1978-03-23,Other,2023-01-02,Sales Manager,HR,105595.95,2105.86,False,431 Moody Road Suite 511,Lake Mary,New York,Marshall Islands,24079,2020-07-01 13:18:11,2023-11-29 05:58:59
83,Jacob,Burgess,harrisjordan@potts-mays.com,0323905574,1986-10-18,Male,2025-01-01,HR Executive,Marketing,43319.63,1203.22,False,1461 Hull Route Suite 956,Lake Davidtown,Georgia,Marshall Islands,74601,2023-02-14 00:11:45,2022-01-21 23:36:58
84,Andrew,Castro,vrollins@torres.com,+14664570345650,1967-01-20,Other,2020-09-20,Project Manager,IT,146338.25,14272.34,False,049 Ware Rapid,Lake Zachary,Massachusetts,Ukraine,72954,2021-10-29 06:22:30,2021-10-05 02:45:23
85,Dillon,West,kennethwallace@hotmail.com,21465546530625,1969-05-24,Male,2017-08-20,HR Executive,Sales,140026.49,17450.69,True,274 Sean Stravenue,Ryanhaven,Missouri,Belize,80363,2025-03-01 21:28:11,2022-01-08 17:27:12
86,Lori,Mccullough,catherine44@mitchell.net,+16858300496233,1992-08-18,Other,2023-12-13,Data Analyst,IT,123853.69,8891.59,True,03190 Brenda Circles,East Johnborough,Michigan,Ireland,69670,2023-06-22 15:55:09,2020-09-11 17:16:31
87,Mike,Davis,sonia26@hotmail.com,+16185010440215,1983-10-04,Female,2018-04-24,Project Manager,IT,144779.7,18038.55,True,633 David Estate Suite 987,Port Aaron,Connecticut,Andorra,63538,2021-04-22 14:46:56,2021-10-04 21:44:41
88,Nicole,Duncan,ryan08@yahoo.com,8842456160,1983-10-11,Female,2024-10-15,Project Manager,IT,143373.99,13330.22,True,9574 Michelle Park Apt. 103,Jeremyhaven,Iowa,Vanuatu,93849,2021-08-15 03:28:34,2024-04-15 15:19:02
89,Kenneth,Phillips,gregmccall@frazier.com,7996330352430,2002-04-29,Male,2022-10-17,Software Engineer,Finance,113820.29,8402.22,False,532 Miller Circle Suite 021,North Jenniferville,Georgia,Honduras,80999,2022-08-05 19:50:51,2020-04-04 11:33:25
90,Scott,Lee,olawson@gmail.com,001988032097449,1999-02-19,Male,2022-01-31,Data Analyst,Marketing,137021.05,8441.13,True,21827 Alejandro Bypass Suite 314,Shannonbury,Louisiana,Turks and Caicos Islands,89438,2025-02-22 13:29:56,2024-09-23 17:51:39
91,Samuel,Bryant,paulfox@gmail.com,3986166315930,1998-06-14,Male,2016-07-21,HR Executive,IT,41905.32,15476.37,True,653 Mark Coves,Port Jennyfort,Nevada,Tunisia,40630,2022-04-28 20:27:48,2023-04-24 15:02:30
92,Tammy,Mccarty,kimberly89@herrera-green.com,92201205958763,1991-09-09,Female,2016-06-04,HR Executive,Marketing,33616.11,18385.65,False,867 Hudson Village Apt. 242,Scottshire,Colorado,Uganda,41264,2023-09-13 22:04:49,2022-08-01 07:00:03
93,Karen,Williamson,cruzcorey@stone.org,38430984165659,1990-06-05,Other,2018-12-20,Project Manager,IT,72300.36,2427.56,True,01986 Robert Road Apt. 555,Dylanmouth,Colorado,Equatorial Guinea,45397,2022-05-01 22:38:03,2022-05-25 03:39:12
94,Nicole,Gutierrez,wisealvin@yahoo.com,39134724240035,1987-01-31,Female,2017-05-18,Project Manager,HR,31195.71,19486.47,False,042 Robinson Isle Apt. 147,Torresstad,Pennsylvania,Mauritius,24808,2020-10-09 14:30:24,2020-12-30 18:16:31
95,David,Nelson,nicolewilson@wright-soto.com,+19482763544,1986-10-21,Male,2018-05-13,Sales Manager,HR,54957.36,4095.82,True,14665 Cross Skyway Apt. 832,Lopezstad,Wisconsin,Ethiopia,05214,2021-02-28 00:40:59,2020-01-24 14:37:46
96,Heather,Richardson,markwong@hotmail.com,94520942077167,1969-12-29,Other,2015-12-29,Software Engineer,Sales,74295.62,493.0,True,634 Brittany Neck Suite 156,Tylermouth,Massachusetts,Mongolia,41017,2020-09-14 22:31:11,2020-12-22 13:08:54
97,Daniel,Jones,xjensen@miller-johnson.com,6719708226,2002-07-29,Male,2021-01-08,Data Analyst,Marketing,43486.92,6888.99,False,523 Myers Court,Erikville,Virginia,Canada,44027,2020-04-26 02:21:08,2020-12-21 22:29:36
98,Kerry,Cochran,moralesjacqueline@yahoo.com,9367804691,1984-08-09,Male,2021-09-06,Software Engineer,HR,73468.78,9467.41,False,4173 Wells Garden Apt. 105,Thomaston,Connecticut,Svalbard & Jan Mayen Islands,13358,2022-08-15 12:41:03,2023-12-26 23:03:45
99,Lynn,Moss,anna76@gmail.com,454669849763274,1973-07-09,Female,2017-01-18,Sales Manager,Sales,52085.47,19859.04,True,44415 Adam Circles,Alyssaton,Louisiana,Netherlands Antilles,85911,2024-02-19 13:09:19,2023-08-21 00:39:39
100,Peggy,Jackson,adam31@hotmail.com,+13395200031071,1998-09-20,Other,2021-06-14,Sales Manager,Sales,48768.37,17953.51,True,38892 Cruz Ville Apt. 899,Carrollfort,Georgia,Ireland,80417,2024-05-19 18:39:55,2024-04-26 19:09:45
101,Stephanie,Barrera,marissadominguez@hotmail.com,2925929659,1993-02-21,Male,2022-06-27,Project Manager,Finance,59140.64,15097.17,False,66968 Jennifer Corner Apt. 978,West Matthewmouth,New Mexico,Norfolk Island,94401,2024-11-19 09:59:24,2022-05-28 00:57:24
102,Kathleen,Parrish,mahoneymichael@hotmail.com,101424311930464,1970-02-21,Female,2024-01-28,HR Executive,IT,133316.95,12024.16,False,23162 Jones Turnpike,South Kimberly,Colorado,Tunisia,69011,2021-11-24 01:56:22,2024-04-29 13:58:44
103,Steven,Moore,pnelson@bowen-sanford.biz,+15321478063679,1972-12-19,Male,2021-12-16,Software Engineer,HR,80427.8,11015.54,True,083 Johnson Curve,New Danielburgh,Missouri,Holy See (Vatican City State),27586,2020-08-10 11:55:20,2023-06-25 02:30:01
104,Sheila,Joseph,iparker@jones.com,3796452446,1989-11-10,Other,2019-06-14,HR Executive,Sales,106435.92,1691.11,False,362 Proctor Terrace,East Mary,Massachusetts,Papua New Guinea,45122,2025-02-21 18:41:01,2020-04-17 23:20:03
105,Kelly,Summers,mmyers@crawford-jackson.com,0283576382,1976-09-16,Other,2023-08-07,Project Manager,Finance,36942.85,8172.52,False,090 Anderson Village,Lake Ashley,Indiana,Lesotho,00997,2023-06-06 20:47:24,2024-06-24 18:02:30
106,Amber,Green,williamssara@carr.biz,5707229575,1968-07-09,Other,2016-10-25,Project Manager,Marketing,54478.83,5866.23,False,016 Clark Junction,West Lauren,Oklahoma,India,72261,2021-08-20 08:38:26,2021-12-17 19:34:59
